Area,Functionality,Expected Results,Pass Y/N,If N Actual Results
HomePage,Logo,Clicking returns to Home Page,,
HomePage,Search,Search results returned,,
HomePage,Store Locator,Display Store Details,,
,,Display Store Hours,,
,,Allow for selecting a new store,,
HomePage,My Account,Allow login,,
,,Allow create new account,,
,,Look up an order,,
HomePage,Mini Cart,Displays Cart Contents,,
,,Proceed to Checkout,,
HomePage,Hamburger Menu,Displays Categories,,
,,Displays Applicable Sub Categories,,
,,Allow Click to Sub Categories,,
,,Allow Click to Category Page,,
HomePage,Header Links,Click through to appriporate pages,,
HomePage,Banners,Click through to appropriate pages,,
HomePage,Recomenders,Appropriate products are displayed,,
HomePage,Product Shelfs,Click results are appropriate,,
,,Pricing is correct,,
,,,,
HomePage,Email Newsletter,Valid email accepted,x,
,,User is signed up for email,x,
HomePage,Footer,Links click through to appropriate location,,
HomePage,Flyers,TC Flyer Is Displayed Correct,,
HomePage,Text Navigation,Directs user to applicable category / sub category,,
CLP,Hero Banner,Appropriate click through,,
,Visual Navigation,Appropriate click through,,
,Sub Catergories,Appropriate click through,,
Sub CLP,Sub Catergories,Appropriate click through,,
,Sub Catergories,Carousel scrolls if applicable,,
PLP,Hero Banner,Appropriate click through,x,
,Refinements,PLP is correctly refined,,
,Proudly Canadian,Filter Functions,,
,,Badges Show,,
,Lazy Load,items are lazy loaded,,
,Sort,items are sorted based on new sorting rule,,
,Price,Correct pricing,,
PDP,Hero Banner,Appropriate click through,,
,Bread Crumbs,Appropriate bread crumbs,x,
,Hero Image,Is present,,
,Image Carousel,Is present if appciable,x,
,Shop All Brand,Appropriate click through,,
,BV Reviews,Stars are present,x,
,,Reviews are present,,
,Price,Is accurate,,
,Badges,Display as configured,x,
,Promotions Box,Displayed where applicable,,
,Promotions Link,Displayed where applicable,,
,Protection Plan,Displayed where applicable,,
,,Selection off plan is possible,,
,Availability,Appropriate representation,x,
,Shipping Selector,Appropriate methods displayed,,
,QTY Selector,Respects max order QTY,x,
,Product Details,1WS content displayed if applicable,,
,,If no 1WS content item long description displayed,,
,Specifications,1WS line specs if applicable,x,
,,If no 1WS content item attributes displayed,x,
,Reviews,Available reviews are displayed,x,
,,Write a review is present,,
,,Allow user to leave a review,,
,1WS Bundles (SWOGO),Applicable suggestions being made,x,
PDP ATC,ISP,Allows choosing if applicable,,
,,Allows choosing store,,
,,Allows entry of postal code for search,,
,,Allows city for search,,
,,Allows location for search,,
,,Allows choosing of new store,,
,,PDP updates to new store,,
,,ATC adds product to cart as ISP at appropriate store,,
,STH,Allows choosing if applicable,,
,,Allows for postal code input,,
,,Displays expedited options if available,,
,,ATC adds product to cart as STH,,
,ODD / SDD,Allows Entering of Postal Code,,
,,Displays appropriate availability,,
,,,,
,,,,
PDP,Wish List,Clicking heart invokes Wish List,,
,,Redirects to My Account login,,
,,After Login redirects back to PDP,,
,,Clicking heart adds item to Wish List,,
,MyRegistry,Clicking MR button invokes process. Defined below.,x,
Cart,ISP - Click Home Delivery,Switch to home delivery,,
,ISP - Change Store,Select new store,,
,ISP - Subscribe,Invokes Subscription Module,,
,STH - ISP,Invokes ISP Module,,
,STH - ODD,Invokes DD Module,,
,STH - Subscribe,Invokes Subscription Module,,
,STS - Home Delivery,Switches to delivery,,
,STS - ODD,Invokes DD Module,,
,STS - Subscribe,Invokes Subscription Module,,
,Secure Checkout,Leads user to Checkout,,
,PayPal,Invokes PayPal login,,
,Special Offer,Invokes Deal of the Week,,
,LDx,Retrieves available Vouchers,x,
,LDx,Allows redmption of voucher,x,
My Account,Profile,Allow for changing of fields,,
,LDx Link,Invokes LDx account linking,,
,Orders,Displays orders,,
,Orders - Details,Displays order details and shipping if applicable,,
,Address Book,Displays saved address,,
,Address Book - Create New,Allows for new address to be entered,,
,Address Book - Edit,Allows for address to be changed,,
,Address Book - Delete,Allows for address to be deleted,,
,Address Book - Default,Makes address default address,,
,Payment Information,Displays saved credit cards,,
,PI - Default,Makes saved card default,,
,PI - Use For Subscriptions,Makes card default for subscriptions,,
,PI - Delete,Deletes saved card,,
,PI - Add New Card,Allows for adding of new card,,
,Email Newsletter,Allows one to confirm email address,,
,,Select desired newsletters,,
,Subscriptions,Displays Subscriptions,,
,Sub - Ship Now,Adds item to cart,,
,Sub - Skip Next,Advances next ship date based on cadence,,
,Sub - Renew,Activates a paused subscription,,
,Sub - Pause,Pauses an active subscription,,
,Sub - Cancel,Cancels subscription,,
,Sub Edit,Allows Changing shipping method,,
,,Allows selecting new store for ISP,,
,,Allows changing Payment Method,,
,,Saves Changes,,
,Sub - QTY,Changes QTY of items to subscribe to,,
,Sub - Delivery,Changes cadence of delivery,,
,Sub - Next Ship,Changes next ship date,,
,LDExtras,Displays available points,,
,,Displays available vouchers,,
,,Displays available perks,,
,My List (Wish List),Displays saved items,,
,,Makes list private / public,,
,,Share - Allows public list / items to be viewed,,
,,QTY Selector - Changes QTY,,
,,Make Private - Disables public view,,
,,Add to Cart - Adds item to cart,,
,,Remove - Removes Item,,
,,Add All - Adds all items to cart,,
Store Locator,Search,Displays map view of stores applicable to search,,
,Find All,Displays list view of stores,,
,Location,Inputs postal code into Search box,,
,Store - Directions,Opens Google maps centered on store,,
,Store - Set as My Store,Sets preferred store in header,,
,Store - Phone Numbers,Invokes telephone dialer,,
DermID,Mobile Landing Page,Has link to start app,,
,Desktop Landing Page,Has QR Code to start app,,
,Camera allows to take pic,Face is used in analysis,,
,Routine is presented,items add to cart,,
,Checkout,Clicking view cart goes to ld.com checkout with items,,
My Registry,PDP,Click add to registry invokes registry,,
,MyReg Pop-up,Allows to signin or create account,,
,MyRegistry,Allows ro view and share registry,,
,Purchase item from Registry,Registry shows item as purchased,,
Deal &Events,Select City,Events are displayed,,