"Hi Jennifer Orejuela (On Behalf of London Drugs) - here's the current list of stores eligible for SDD or ""Expedited"" delivery",,,
,,,
,,,
#02,Granville & Georgia,V6Z 1E4,BC
#03,Westminster Centre,V3L 5H1,BC
#04,West Broadway,V5Z 1E6,BC
#05,North Vancouver,V7M 2K5,BC
#06,5000 Kingsway Plaza,V5H 2E2,BC
#07,TEMP STORE – East Hastings,,
#10,Kerrisdale,V6M 2B4,BC
#11,London Plaza,,
#15,Coquitlam Centre,,
#19,Robson Street,,
#25,Lougheed Town Centre,V3J 1N4,BC
#44,Park Royal North,,
#50,Davie Street,,
#52,Ironwood Plaza,,
#53,41st & Victoria,V5P 3W2,BC
#56,Brentwood Town Centre,,
#71,Marine Way & Byrne,,
#74,Broadway & Vine,,
#82,Olympic Village,V5Y 0E4,BC
#88,Dunbar,,
#90,Vancouver House,,
#20,Village Market,,
#21,North Town Centre,T5E 6C2,AL
#22,Jasper Gates,T5P 4W1,AL
#23,Southgate Mall,T6H 4M6,AL
#26,West Edmonton Mall,,
#30,Heritage Plaza,,
#31,London Town Square,,
#32,London Place West,,
#33,Brentwood Village Mall,,
#40,Beddington Towne Centre,,
#45,Unity Square,,
#48,St. Albert Centre Mall,,
#57,South Edmonton Common,,
#64,First Calgary SE,,
#68,Royal Oak Centre,T3G 5T4,AL
#66,St. Vital Centre,R2M 5E5,Manitoba
#92,Polo Park,R3G 0W4,Manitoba