Code,Name,Postal Code,State,City
#02,Granville & Georgia,V6Z 1E4,BC,
#03,Westminster Centre,V3L 5H1,BC,
#04,West Broadway,V5Z 1E6,BC,
#05,North Vancouver,V7M 2K5,BC,North Vancouver
#06,5000 Kingsway Plaza,V5H 2E2,BC,Burnaby
#07,TEMP STORE – East Hastings,,,
#08,London Station,V3T 2W5,BC,Surrey
#09,Guildford Town Centre,V3R 7B9,BC,
#10,Kerrisdale,V6M 2B4,BC,Vancouver
#11,London Plaza,,,
#12,Spall Plaza,V1Y 8J8,BC,Kelowna
#15,Coquitlam Centre,,,
#16,Sevenoaks Shopping Centre,V2S 5A1,BC,Abbotsford
#18,Langley,V2Y 1P3,BC,Langley
#19,Robson Street,,,
#20,Village Market,,,
#21,North Town Centre,T5E 6C2,AL,Edmonton
#22,Jasper Gates,T5P 4W1,AL,
#23,Southgate Mall,T6H 4M6,AL,
#24,Red Deer,T4R 3A2,AL,Red Deer
#25,Lougheed Town Centre,V3J 1N4,BC,
#26,West Edmonton Mall,,,
#30,Heritage Plaza,,,
#31,London Town Square,,,
#32,London Place West,T3E 7C4,AL,Calgary
#33,Brentwood Village Mall,T2L 1K8,AL,Calgary
#39,Vernon Square,V1T 9H2,BC,Vernon
#40,Beddington Towne Centre,,,
#44,Park Royal North,V7T 1H9,BC,West Vancouver
#45,Unity Square,T5K 2T6,AL,Edmonton
#47,Valley Fair Mall,V2X 2V5,BC,Maple Ridge
#48,St. Albert Centre Mall,T8N 3K8,AL,St. Albert
#50,Davie Street,,,
#51,Parkwood Place,V2L 3X3,BC,Prince George
#52,Ironwood Plaza,,,
#53,41st & Victoria,V5P 3W2,BC,Vancouver
#56,056 - The Amazing Brentwood,V5C 0K3,BC,Burnaby
#57,South Edmonton Common,,,
#60,Medicine Hat,T1B 1E2,AL,Medicine Hat
#61,Gibsons,V0N 1V7,BC,Gibsons
#62,Saskatoon,S7H 0V4,SK,Saskatoon
#63,First Regina East,S4V 3A6,SK,Regina
#64,First Calgary SE,,,
#65,Lawson Heights,S7K 5S6,SK,Saskatoon
#66,St. Vital Centre,R2M 5E5,Manitoba,Winnipeg
#68,Royal Oak Centre,T3G 5T4,AL,
#71,Marine Way & Byrne,,,
#72,,,,
#74,Broadway & Vine,V6K 2E3,BC,Vancouver
#75,Cloverdale,V3S 1Z2,BC,Surrey
#78,Hastings & Abbott Street,V6B 0G6,BC,Vancouver
#80,Garibaldi Village,V8B 0G2,BC,Squamish
#81,Morgan Crossing,V3S 2N6,BC,South Surrey
#82,Olympic Village,V5Y 0E4,BC,Vancouver
#84,Airdrie,T4B 3M1,AL,Airdrie
#86,Grasslands Plaza,S4W 0B7,SK,Regina
#88,Dunbar,,,
#90,Vancouver House,,,
#91,Shawnessy,T2Y 3H9,AL,Calgary
#92,Polo Park,R3G 0W4,Manitoba,Winnipeg
#751,Lakeside,S7N 3A8,SK,Saskatoon